cod_ibge,COD_idf,indice,pesos
3202454,d6_c5_i2,"0,6818642351",2961
3202504,d6_c5_i2,"0,9347021205",2971
3202603,d6_c5_i2,"0,6078904992",1242
3202652,d6_c5_i2,"0,6838975297",2186
3202702,d6_c5_i2,"0,7610328638",2130
3202801,d6_c5_i2,"0,3779063042",8645
3202900,d6_c5_i2,"0,6618025751",1165
3203007,d6_c5_i2,"0,7050080037",4373
3203056,d6_c5_i2,"0,6063661526",5058
3203106,d6_c5_i2,"0,886199794",1942
3203130,d6_c5_i2,"0,9675675676",2220
3203163,d6_c5_i2,"0,9152202937",1498
3203205,d6_c5_i2,"0,8783407407",16875
3203304,d6_c5_i2,"0,8206090947",2397
3203320,d6_c5_i2,"0,5266286258",8412
3203346,d6_c5_i2,"0,4994047619",1680
3203353,d6_c5_i2,"0,7643585615",1863
3203403,d6_c5_i2,"0,6519670631",5465
3203502,d6_c5_i2,"0,9232983755",4863
3203601,d6_c5_i2,"0,8267594741",1293
3203700,d6_c5_i2,"0,7412663755",2748
3203809,d6_c5_i2,"0,7438538206",3010
